plant_id,plant_name,line_id,product_family,date,year,month,week,day_of_week,shift,planned_time_min,scheduled_stop_min,available_time_min,unplanned_stop_min,net_operating_min,availability,performance,quality,oee,ideal_cycle_time_s,ideal_output_units,actual_output_units,good_output_units,scrap_units
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-02,2023,1,1,Monday,Matin,480,39,441,58,383,0.8684,0.8773,0.9229,0.7031,8.93,2574,2258,2083,175
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-02,2023,1,1,Monday,Après-midi,480,31,449,74,375,0.8362,0.9012,0.9197,0.6931,16.26,1383,1246,1145,101
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-02,2023,1,1,Monday,Nuit,480,40,440,58,382,0.8673,0.8566,0.9127,0.6781,41.01,558,477,435,42
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-02,2023,1,1,Monday,Matin,480,26,454,63,391,0.8606,0.8741,0.8972,0.675,23.61,993,867,777,90
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-02,2023,1,1,Monday,Après-midi,480,25,455,68,387,0.8502,0.8657,0.9034,0.665,16.09,1443,1249,1128,121
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-02,2023,1,1,Monday,Nuit,480,25,455,65,390,0.8561,0.8395,0.9044,0.65,15.36,1523,1278,1155,123
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-02,2023,1,1,Monday,Matin,480,40,440,69,371,0.8422,0.8595,0.9032,0.6539,28.16,790,679,613,66
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-02,2023,1,1,Monday,Après-midi,480,29,451,63,388,0.8606,0.825,0.9069,0.6439,29.8,781,644,584,60
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-02,2023,1,1,Monday,Nuit,480,24,456,81,375,0.8223,0.8524,0.8972,0.6289,37.82,594,506,453,53
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-02,2023,1,1,Monday,Matin,480,41,439,70,369,0.8403,0.8816,0.9301,0.689,20.59,1075,947,880,67
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-02,2023,1,1,Monday,Après-midi,480,28,452,68,384,0.8505,0.8644,0.9236,0.679,43.42,530,458,423,35
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-02,2023,1,1,Monday,Nuit,480,26,454,71,383,0.8438,0.838,0.939,0.664,11.58,1984,1662,1560,102
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-03,2023,1,1,Tuesday,Matin,480,44,436,65,371,0.8509,0.8969,0.9213,0.7032,30.34,733,657,605,52
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-03,2023,1,1,Tuesday,Après-midi,480,43,437,63,374,0.856,0.8525,0.9499,0.6932,35.0,641,546,518,28
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-03,2023,1,1,Tuesday,Nuit,480,47,433,51,382,0.8818,0.8443,0.9108,0.6782,22.01,1041,878,799,79
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-03,2023,1,1,Tuesday,Matin,480,37,443,65,378,0.8532,0.8587,0.9214,0.675,38.69,586,503,463,40
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-03,2023,1,1,Tuesday,Après-midi,480,39,441,61,380,0.8621,0.8413,0.917,0.665,39.88,571,480,440,40
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-03,2023,1,1,Tuesday,Nuit,480,41,439,63,376,0.8555,0.8481,0.8959,0.65,9.7,2326,1972,1766,206
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-03,2023,1,1,Tuesday,Matin,480,29,451,60,391,0.8667,0.8364,0.9021,0.6539,18.71,1254,1048,945,103
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-03,2023,1,1,Tuesday,Après-midi,480,26,454,75,379,0.8352,0.862,0.8944,0.6439,16.61,1368,1179,1054,125
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-03,2023,1,1,Tuesday,Matin,480,31,449,72,377,0.8407,0.8918,0.9191,0.6891,31.52,717,639,587,52
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-03,2023,1,1,Tuesday,Après-midi,480,33,447,66,381,0.852,0.8604,0.9264,0.6791,21.7,1053,906,839,67
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-04,2023,1,1,Wednesday,Matin,480,30,450,83,367,0.8166,0.8971,0.9599,0.7032,42.66,516,462,443,19
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-04,2023,1,1,Wednesday,Après-midi,480,40,440,64,376,0.8538,0.8885,0.9139,0.6932,30.54,738,655,598,57
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-04,2023,1,1,Wednesday,Matin,480,41,439,72,367,0.8357,0.8795,0.9185,0.6751,14.05,1567,1378,1265,113
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-04,2023,1,1,Wednesday,Après-midi,480,33,447,79,368,0.8237,0.8684,0.9298,0.6651,44.61,494,428,397,31
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-04,2023,1,1,Wednesday,Nuit,480,37,443,47,396,0.8935,0.8116,0.8965,0.6501,33.33,712,577,517,60
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-04,2023,1,1,Wednesday,Matin,480,44,436,65,371,0.85,0.8591,0.8956,0.654,36.71,606,520,465,55
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-04,2023,1,1,Wednesday,Après-midi,480,29,451,77,374,0.8288,0.8568,0.907,0.644,9.19,2442,2092,1897,195
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-04,2023,1,1,Wednesday,Nuit,480,30,450,82,368,0.8188,0.8607,0.8926,0.629,15.81,1396,1201,1072,129
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-04,2023,1,1,Wednesday,Matin,480,47,433,62,371,0.8561,0.8659,0.9297,0.6892,40.43,550,476,442,34
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-04,2023,1,1,Wednesday,Après-midi,480,32,448,70,378,0.8439,0.8804,0.9141,0.6792,32.25,703,618,564,54
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-04,2023,1,1,Wednesday,Nuit,480,46,434,59,375,0.8635,0.839,0.9167,0.6642,24.98,900,755,692,63
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-05,2023,1,1,Thursday,Matin,480,30,450,67,383,0.8502,0.8853,0.9345,0.7033,17.13,1341,1187,1109,78
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-05,2023,1,1,Thursday,Après-midi,480,37,443,59,384,0.8663,0.8607,0.9299,0.6933,17.72,1300,1118,1039,79
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-05,2023,1,1,Thursday,Nuit,480,46,434,67,367,0.846,0.8688,0.9229,0.6783,22.78,966,839,774,65
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-05,2023,1,1,Thursday,Matin,480,29,451,59,392,0.8687,0.8454,0.9194,0.6752,44.91,523,442,406,36
USN_NORD,Usine Nord – Valenciennes,LN-02,Faisceaux câbles,2023-01-05,2023,1,1,Thursday,Après-midi,480,36,444,56,388,0.8744,0.8411,0.9045,0.6652,11.36,2048,1722,1557,165
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-05,2023,1,1,Thursday,Matin,480,27,453,60,393,0.8676,0.8457,0.8915,0.6541,31.22,755,638,568,70
USN_NORD,Usine Nord – Valenciennes,LN-03,Connecteurs,2023-01-05,2023,1,1,Thursday,Après-midi,480,43,437,81,356,0.8154,0.8661,0.9121,0.6441,23.62,904,782,713,69
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-05,2023,1,1,Thursday,Matin,480,33,447,60,387,0.8649,0.8438,0.9445,0.6892,44.86,517,436,411,25
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-05,2023,1,1,Thursday,Après-midi,480,37,443,68,375,0.8467,0.8588,0.9341,0.6792,43.93,512,439,410,29
USN_NORD,Usine Nord – Valenciennes,LN-04,Modules électroniques,2023-01-05,2023,1,1,Thursday,Nuit,480,24,456,81,375,0.8234,0.888,0.9084,0.6642,34.67,649,576,523,53
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-06,2023,1,1,Friday,Matin,480,40,440,71,369,0.8378,0.9027,0.9301,0.7034,27.87,794,716,665,51
USN_NORD,Usine Nord – Valenciennes,LN-01,Boîtiers plastique,2023-01-06,2023,1,1,Friday,Après-midi,480,30,450,62,388,0.8621,0.8799,0.914,0.6934,31.72,734,645,589,56
