defect_id,plant_id,line_id,product_family,date,shift,defect_type,quantity_defect,quantity_rework,quantity_scrap,year,month
1,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Matin,Défaut électrique,40,0,40,2023,1
2,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Matin,Dimension hors tolérance,57,13,44,2023,1
3,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Matin,Défaut électrique,41,1,40,2023,1
4,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Matin,Défaut aspect,37,14,23,2023,1
5,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Après-midi,Inclusion / Corps étranger,101,12,89,2023,1
6,USN_NORD,LN-01,Boîtiers plastique,2023-01-02,Nuit,Fissure,42,5,37,2023,1
7,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Matin,Défaut aspect,18,5,13,2023,1
8,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Matin,Manque composant,25,3,22,2023,1
9,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Matin,Défaut électrique,20,3,17,2023,1
10,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Matin,Inclusion / Corps étranger,27,0,27,2023,1
11,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Après-midi,Fissure,121,41,80,2023,1
12,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Nuit,Défaut électrique,28,11,17,2023,1
13,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Nuit,Fissure,30,12,18,2023,1
14,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Nuit,Soudure défectueuse,34,11,23,2023,1
15,USN_NORD,LN-02,Faisceaux câbles,2023-01-02,Nuit,Défaut électrique,31,7,24,2023,1
16,USN_NORD,LN-03,Connecteurs,2023-01-02,Matin,Fissure,29,11,18,2023,1
17,USN_NORD,LN-03,Connecteurs,2023-01-02,Matin,Dimension hors tolérance,37,7,30,2023,1
18,USN_NORD,LN-03,Connecteurs,2023-01-02,Après-midi,Défaut électrique,60,8,52,2023,1
19,USN_NORD,LN-03,Connecteurs,2023-01-02,Nuit,Manque composant,15,3,12,2023,1
20,USN_NORD,LN-03,Connecteurs,2023-01-02,Nuit,Inclusion / Corps étranger,17,5,12,2023,1
21,USN_NORD,LN-03,Connecteurs,2023-01-02,Nuit,Défaut aspect,21,6,15,2023,1
22,USN_NORD,LN-04,Modules électroniques,2023-01-02,Matin,Inclusion / Corps étranger,29,11,18,2023,1
23,USN_NORD,LN-04,Modules électroniques,2023-01-02,Matin,Défaut aspect,38,5,33,2023,1
24,USN_NORD,LN-04,Modules électroniques,2023-01-02,Après-midi,Mauvais assemblage,35,2,33,2023,1
25,USN_NORD,LN-04,Modules électroniques,2023-01-02,Nuit,Mauvais assemblage,24,9,15,2023,1
26,USN_NORD,LN-04,Modules électroniques,2023-01-02,Nuit,Mauvais marquage,23,9,14,2023,1
27,USN_NORD,LN-04,Modules électroniques,2023-01-02,Nuit,Mauvais marquage,33,12,21,2023,1
28,USN_NORD,LN-04,Modules électroniques,2023-01-02,Nuit,Défaut électrique,22,2,20,2023,1
