stop_id,plant_id,line_id,date,shift,stop_category,stop_cause,duration_min,maintenance_team,mttr_min,year,month
1,USN_NORD,LN-01,2023-01-02,Matin,Changement de série,Changement d'outil,39,False,,2023,1
2,USN_NORD,LN-01,2023-01-02,Après-midi,Panne,Défaillance vérin,5,True,5.0,2023,1
3,USN_NORD,LN-01,2023-01-02,Après-midi,Arrêt organisationnel,Audit qualité,16,False,,2023,1
4,USN_NORD,LN-01,2023-01-02,Après-midi,Maintenance préventive,Vérification sécurités,53,True,,2023,1
5,USN_NORD,LN-01,2023-01-02,Nuit,Panne,Défaillance vérin,27,True,27.0,2023,1
6,USN_NORD,LN-01,2023-01-02,Nuit,Changement de série,Ajustement paramètres,31,False,,2023,1
7,USN_NORD,LN-02,2023-01-02,Matin,Manque matière,Non-conformité lot entrant,63,False,,2023,1
8,USN_NORD,LN-02,2023-01-02,Après-midi,Maintenance préventive,Remplacement filtres,46,True,,2023,1
9,USN_NORD,LN-02,2023-01-02,Après-midi,Manque matière,Non-conformité lot entrant,22,False,,2023,1
10,USN_NORD,LN-02,2023-01-02,Nuit,Changement de série,Changement moule,53,False,,2023,1
11,USN_NORD,LN-02,2023-01-02,Nuit,Panne,Blocage mécanique,12,True,12.0,2023,1
12,USN_NORD,LN-03,2023-01-02,Matin,Manque matière,Rupture matière première,31,False,,2023,1
13,USN_NORD,LN-03,2023-01-02,Matin,Qualité / Réglage,Mauvais collage,25,False,,2023,1
14,USN_NORD,LN-03,2023-01-02,Après-midi,Manque matière,Manque emballage,16,False,,2023,1
15,USN_NORD,LN-03,2023-01-02,Après-midi,Changement de série,Ajustement paramètres,34,False,,2023,1
16,USN_NORD,LN-03,2023-01-02,Après-midi,Changement de série,Remplacement filière,13,False,,2023,1
17,USN_NORD,LN-03,2023-01-02,Nuit,Changement de série,Changement moule,26,False,,2023,1
18,USN_NORD,LN-03,2023-01-02,Nuit,Qualité / Réglage,Problème aspect surface,14,False,,2023,1
19,USN_NORD,LN-03,2023-01-02,Nuit,Arrêt organisationnel,Inventaire,32,False,,2023,1
20,USN_NORD,LN-04,2023-01-02,Matin,Panne,Défaillance vérin,5,True,5.0,2023,1
21,USN_NORD,LN-04,2023-01-02,Matin,Qualité / Réglage,Mauvais collage,6,False,,2023,1
22,USN_NORD,LN-04,2023-01-02,Après-midi,Qualité / Réglage,Dérive dimensionnelle,22,False,,2023,1
23,USN_NORD,LN-04,2023-01-02,Après-midi,Qualité / Réglage,Non-conformité soudure,44,False,,2023,1
24,USN_NORD,LN-04,2023-01-02,Nuit,Manque matière,Manque emballage,8,False,,2023,1
25,USN_NORD,LN-04,2023-01-02,Nuit,Maintenance préventive,Graissage planifié,30,True,,2023,1
26,USN_NORD,LN-04,2023-01-02,Nuit,Autre,En cours d'analyse,12,False,,2023,1
27,USN_NORD,LN-04,2023-01-02,Nuit,Changement de série,Réglage machine,21,False,,2023,1
28,USN_NORD,LN-01,2023-01-03,Matin,Maintenance préventive,Remplacement filtres,41,True,,2023,1
29,USN_NORD,LN-01,2023-01-03,Après-midi,Panne,Fuite hydraulique,53,True,53.0,2023,1
30,USN_NORD,LN-01,2023-01-03,Après-midi,Changement de série,Remplacement filière,10,False,,2023,1
31,USN_NORD,LN-01,2023-01-03,Nuit,Arrêt organisationnel,Inventaire,14,False,,2023,1
32,USN_NORD,LN-01,2023-01-03,Nuit,Autre,En cours d'analyse,10,False,,2023,1
33,USN_NORD,LN-01,2023-01-03,Nuit,Arrêt organisationnel,Inventaire,27,False,,2023,1
34,USN_NORD,LN-02,2023-01-03,Matin,Maintenance préventive,Remplacement filtres,55,True,,2023,1
35,USN_NORD,LN-02,2023-01-03,Matin,Manque matière,Manque emballage,10,False,,2023,1
36,USN_NORD,LN-02,2023-01-03,Après-midi,Panne,Court-circuit armoire,61,True,61.0,2023,1
37,USN_NORD,LN-02,2023-01-03,Nuit,Manque matière,Retard fournisseur,26,False,,2023,1
38,USN_NORD,LN-02,2023-01-03,Nuit,Qualité / Réglage,Dérive dimensionnelle,20,False,,2023,1
39,USN_NORD,LN-02,2023-01-03,Nuit,Qualité / Réglage,Non-conformité soudure,16,False,,2023,1
40,USN_NORD,LN-03,2023-01-03,Matin,Arrêt organisationnel,Nettoyage 5S,7,False,,2023,1
41,USN_NORD,LN-03,2023-01-03,Matin,Manque matière,Non-conformité lot entrant,28,False,,2023,1
42,USN_NORD,LN-03,2023-01-03,Matin,Panne,Panne convoyeur,25,True,25.0,2023,1
43,USN_NORD,LN-03,2023-01-03,Après-midi,Panne,Panne automate,18,True,18.0,2023,1
44,USN_NORD,LN-03,2023-01-03,Après-midi,Changement de série,Réglage machine,57,False,,2023,1
45,USN_NORD,LN-04,2023-01-03,Matin,Panne,Fuite hydraulique,72,True,72.0,2023,1
46,USN_NORD,LN-04,2023-01-03,Après-midi,Changement de série,Changement moule,66,False,,2023,1
47,USN_NORD,LN-01,2023-01-04,Matin,Changement de série,Changement d'outil,60,False,,2023,1
48,USN_NORD,LN-01,2023-01-04,Matin,Qualité / Réglage,Mauvais collage,13,False,,2023,1
49,USN_NORD,LN-01,2023-01-04,Matin,Maintenance préventive,Vérification sécurités,10,True,,2023,1
50,USN_NORD,LN-01,2023-01-04,Après-midi,Panne,Rupture courroie,64,True,64.0,2023,1
51,USN_NORD,LN-02,2023-01-04,Matin,Maintenance préventive,Remplacement filtres,36,True,,2023,1
52,USN_NORD,LN-02,2023-01-04,Matin,Panne,Défaillance moteur,8,True,8.0,2023,1
